"good.names","SporeName","SporeDim1_min","SporeDim1_max","SporeDim2_min","SporeDim2_max","Phylum","EquatorialAxis","PolarAxis","SporeVolume","Dimension_units","Volume_units","Source"
"Doratomyces microsporus","conidia",3,5,2,3,"Ascomycota",2.5,4,13.0899693899575,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Doratomyces nanus","conidia",6,8.5,5,6,"Ascomycota",5.5,7.25,114.831756473402,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Doratomyces purpureofuscus","conidia",5,7,2.5,3.5,"Ascomycota",3,6,28.2743338823081,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Doratomyces stemonitis","conidia",6,8.5,4,4.5,"Ascomycota",4.25,7.25,68.566895910771,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Emericella nidulans","conidia",NA,NA,NA,NA,"Ascomycota",NA,NA,NA,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Emericella rugulosa","conidia",NA,NA,NA,NA,"Ascomycota",NA,NA,NA,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Emericellopsis minima","conidia",5.5,8.5,1.9,2.5,"Ascomycota",2.2,7,17.7395265172704,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Emericellopsis terricola","conidia",4.7,8,2.1,3.2,"Ascomycota",2.65,6.35,23.348774750408,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Epicoccum nigrum","conidia",15,25,15,25,"Ascomycota",20,20,4188.79020478639,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Eupenicillium brefeldianum","conidia",2,3,1.5,2,"Ascomycota",1.75,2.5,4.00880312567448,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
