"good.names","Genus_species","clade","host","hyphlength","soil_ergo","root_ergo","no_spores"
"Rhizophagus_intraradices","Glomus_intraradices_F","GlomusAb","Poa_pratensis",2.08,0.67,3.902,45.73
"Rhizophagus_intraradices","Glomus_intraradices_I","GlomusAb","Plantago_lanceolata",1.918,0.62,3.128,42.498
"Rhizophagus_intraradices","Glomus_intraradices_I","GlomusAb","Plantago_major",1.664,0.49,2.742,43.014
"Rhizophagus_intraradices","Glomus_intraradices_I","GlomusAb","Poa_annua",1.916,0.636,3.106,51.226
"Rhizophagus_intraradices","Glomus_intraradices_I","GlomusAb","Poa_pratensis",1.948,0.6,3.416,27.576
"Rhizophagus_intraradices","Glomus_intraradices_J","GlomusAb","Plantago_lanceolata",1.894,0.582,3.342,41.116
"Rhizophagus_intraradices","Glomus_intraradices_J","GlomusAb","Plantago_major",1.692,0.582,3.072,49.644
"Rhizophagus_intraradices","Glomus_intraradices_J","GlomusAb","Poa_annua",1.916,0.612,3.402,39.722
"Rhizophagus_intraradices","Glomus_intraradices_J","GlomusAb","Poa_pratensis",2.084,0.664,3.758,53.158
"Rhizophagus_intraradices","Glomus_intraradices_K","GlomusAb","Plantago_lanceolata",1.882,0.552,3.166,51.63
"Rhizophagus_intraradices","Glomus_intraradices_K","GlomusAb","Plantago_major",1.79,0.596,2.694,53.454
"Rhizophagus_intraradices","Glomus_intraradices_K","GlomusAb","Poa_annua",1.886,0.592,3.148,58.714
"Rhizophagus_intraradices","Glomus_intraradices_K","GlomusAb","Poa_pratensis",1.966,0.596,3.638,78.332
"Rhizophagus_intraradices","Glomus_intraradices_Q1","GlomusAb","Plantago_lanceolata",2.094,0.648,4.11,80.812
"Rhizophagus_intraradices","Glomus_intraradices_Q1","GlomusAb","Plantago_major",1.916,0.632,3.63,50.744
"Rhizophagus_intraradices","Glomus_intraradices_Q1","GlomusAb","Poa_annua",2.144,0.708,4.08,70.188
"Rhizophagus_intraradices","Glomus_intraradices_Q1","GlomusAb","Poa_pratensis",2.24,0.686,4.644,86.916
"Rhizophagus_intraradices","Glomus_intraradices_Q2","GlomusAb","Plantago_lanceolata",1.702,0.59,2.792,40.874
"Rhizophagus_intraradices","Glomus_intraradices_Q2","GlomusAb","Plantago_major",1.562,0.498,2.41,61.846
"Rhizophagus_intraradices","Glomus_intraradices_Q2","GlomusAb","Poa_annua",1.706,0.596,2.572,39.544
"Rhizophagus_intraradices","Glomus_intraradices_Q2","GlomusAb","Poa_pratensis",1.874,0.598,3.086,58.976
"Funneliformis_mosseae","Glomus_mosseae","GlomusAa","Plantago_lanceolata",2,0.612,3.55,33.976
"Funneliformis_mosseae","Glomus_mosseae","GlomusAa","Plantago_major",1.87,0.576,3.216,23.388
"Funneliformis_mosseae","Glomus_mosseae","GlomusAa","Poa_annua",1.936,0.632,3.742,29.686
"Funneliformis_mosseae","Glomus_mosseae","GlomusAa","Poa_pratensis",2.17,0.702,4.112,31.072
"Scutellospora_calospora","Scutellospora_calospora","Gigasporaceae","Plantago_lanceolata",6.668,2.718,1.098,4.34
"Scutellospora_calospora","Scutellospora_calospora","Gigasporaceae","Plantago_major",5.804,2.366,0.988,4.87
"Scutellospora_calospora","Scutellospora_calospora","Gigasporaceae","Poa_annua",6.376,2.606,1.132,5.572
"Scutellospora_calospora","Scutellospora_calospora","Gigasporaceae","Poa_pratensis",7.216,2.9,1.252,6.27
"Dentiscutata_heterogama","Scutellospora_heterogama","Gigasporaceae","Plantago_lanceolata",7.628,2.99,1.344,6.344
"Dentiscutata_heterogama","Scutellospora_heterogama","Gigasporaceae","Plantago_major",6.908,2.778,1.154,7.696
"Dentiscutata_heterogama","Scutellospora_heterogama","Gigasporaceae","Poa_annua",7.584,2.95,1.34,8.5
"Dentiscutata_heterogama","Scutellospora_heterogama","Gigasporaceae","Poa_pratensis",8.428,3.298,1.504,10.878
"Scutellospora_pellucida","Scutellospora_pellucida","Gigasporaceae","Plantago_lanceolata",6.196,2.46,1.112,6.872
"Scutellospora_pellucida","Scutellospora_pellucida","Gigasporaceae","Plantago_major",5.472,2.174,0.936,9.438
"Scutellospora_pellucida","Scutellospora_pellucida","Gigasporaceae","Poa_annua",6.184,2.54,1.108,4.664
"Scutellospora_pellucida","Scutellospora_pellucida","Gigasporaceae","Poa_pratensis",7.076,2.768,1.218,9.724
